City_Name,country,Latitude,Longitude,Temperature/F,Humidity/%,Cloudiness/%,Wind_Speed/mph
vawkavysk,BY,53.16,24.45,33.64,90,99,9.78
busselton,AU,-33.65,115.33,73.99,63,28,4.0
mataura,NZ,-46.19,168.86,74.14,60,73,2.35
barrow,US,71.29,-156.79,-20.2,75,90,10.29
leshukonskoye,RU,64.9,45.76,-4.76,96,96,3.78
tautira,PF,-17.73,-149.15,87.8,66,20,14.99
arraial do cabo,BR,-22.97,-42.03,75.78,82,0,8.32
pevek,RU,69.7,170.31,-11.96,96,100,2.04
thompson,CA,55.74,-97.86,15.8,92,90,3.74
lazaro cardenas,MX,17.96,-102.2,78.87,66,97,5.99
jamestown,US,42.1,-79.24,37.0,86,90,3.36
saint-philippe,RE,-21.36,55.77,73.4,78,90,8.05
tasiilaq,GL,65.61,-37.64,30.2,63,100,25.28
raudeberg,NO,61.99,5.14,45.0,100,100,25.28
rikitea,PF,-23.12,-134.97,79.07,77,5,12.84
la ronge,CA,55.1,-105.28,23.0,85,90,5.82
fojnica,BA,43.96,17.9,28.4,100,40,1.12
dikson,RU,73.51,80.55,-7.56,97,100,6.6
yellowknife,CA,62.46,-114.35,10.4,85,90,8.05
itarema,BR,-2.92,-39.92,78.12,93,100,5.48
puerto ayora,EC,-0.74,-90.35,78.8,78,75,8.05
aklavik,CA,68.22,-135.01,-13.0,75,90,16.11
sawakin,SD,19.11,37.33,70.97,71,58,22.17
nome,US,64.5,-165.41,-16.6,82,1,8.52
hilo,US,19.73,-155.09,80.6,57,90,6.93
port alfred,ZA,-33.59,26.89,66.99,98,0,5.99
hobart,AU,-42.88,147.33,73.0,60,75,12.75
kaeo,NZ,-35.1,173.78,84.99,56,52,11.01
bengkulu,ID,-3.8,102.27,75.07,89,91,2.35
butaritari,KI,3.07,172.79,85.15,71,46,9.86
pisco,PE,-13.7,-76.22,75.0,83,75,21.92
akhaldaba,GE,41.65,42.15,39.2,64,19,21.92
avarua,CK,-21.21,-159.78,82.4,83,100,11.41
northam,GB,51.03,-4.22,46.0,94,96,5.99
leningradskiy,RU,69.38,178.42,-11.92,95,98,4.99
chuy,UY,-33.7,-53.46,68.09,73,38,5.7
itajuba,BR,-22.43,-45.45,70.0,72,17,3.69
fortuna,US,40.6,-124.16,59.0,93,90,5.82
rock sound,BS,24.9,-76.2,73.29,69,20,4.72
dalbandin,PK,28.89,64.41,50.59,78,0,5.66
oranjemund,NA,-28.55,16.43,65.98,85,96,9.82
koungou,YT,-12.73,45.2,77.0,94,100,6.93
kachiry,KZ,53.07,76.1,6.93,85,55,14.99
brisbane,AU,-27.47,153.03,88.0,69,75,9.17
upernavik,GL,72.79,-56.15,-13.18,95,97,7.18
tuktoyaktuk,CA,69.45,-133.04,-13.0,75,90,24.16
port hedland,AU,-20.32,118.57,96.8,39,0,10.29
castro,BR,-24.79,-50.01,64.74,63,4,3.36
victoria,HK,22.29,114.16,59.0,93,75,20.8
bredasdorp,ZA,-34.53,20.04,64.4,63,2,12.75
punta arenas,CL,-53.15,-70.92,50.0,66,75,18.34
mahebourg,MU,-20.41,57.7,77.0,78,40,12.75
miastko,PL,54.0,16.98,36.0,96,100,6.69
kathmandu,NP,27.72,85.32,44.6,93,75,3.11
hamilton,US,39.18,-84.53,35.01,86,90,11.41
markova,UA,48.68,24.41,25.61,77,0,6.06
bambous virieux,MU,-20.34,57.76,77.0,78,40,12.75
naze,JP,28.37,129.48,69.8,100,75,9.17
ribeira grande,PT,38.52,-28.7,54.55,73,100,4.36
bluff,NZ,-46.6,168.33,69.46,50,33,5.86
saint anthony,US,45.02,-93.22,30.99,86,75,5.82
mitsamiouli,KM,-11.38,43.28,78.53,83,100,3.36
makakilo city,US,21.35,-158.09,82.0,61,90,10.29
lompoc,US,34.64,-120.46,66.99,55,1,4.7
sitka,US,57.05,-135.33,44.6,81,90,19.46
melfi,IT,41.0,15.65,42.8,70,75,5.82
new norfolk,AU,-42.78,147.06,73.0,60,75,12.75
clyde river,CA,70.47,-68.59,-23.8,67,1,5.82
san quintin,MX,30.48,-115.95,62.62,74,41,6.42
san juan,AR,-31.54,-68.54,94.14,21,1,13.06
sillamae,EE,59.4,27.75,34.79,78,32,16.15
verkhnevilyuysk,RU,63.45,120.32,-21.87,95,94,7.56
kaoma,ZM,-14.78,24.8,62.64,95,52,4.25
severo-kurilsk,RU,50.68,156.12,18.57,91,100,44.63
atuona,PF,-9.8,-139.03,80.87,78,70,15.28
provideniya,RU,64.38,-173.3,-3.71,68,0,3.85
broome,US,42.25,-75.83,36.0,99,90,6.42
umm lajj,SA,25.02,37.27,50.56,28,0,14.09
port hardy,CA,50.7,-127.42,48.2,81,75,16.11
voznesenye,RU,61.01,35.48,24.21,78,100,12.37
wanning,CN,18.8,110.4,66.85,90,100,11.86
nikolskoye,RU,59.7,30.79,30.99,80,40,6.71
villazon,BO,-22.09,-65.59,57.58,48,28,13.22
banda aceh,ID,5.56,95.32,71.06,86,91,3.76
albany,US,42.6,-73.97,39.99,86,90,5.82
obo,CF,5.4,26.49,68.23,25,59,5.35
uruacu,BR,-14.52,-49.14,71.8,97,100,3.71
ponta do sol,PT,32.67,-17.1,59.0,72,20,4.7
laguna,US,38.42,-121.42,60.01,76,1,6.93
chhagalnaiya,BD,23.03,91.51,51.53,71,0,3.06
dingle,PH,11.0,122.67,78.53,83,43,5.35
zhigansk,RU,66.77,123.37,-31.61,90,75,13.89
hay river,CA,60.82,-115.8,12.2,92,90,2.24
cape town,ZA,-33.93,18.42,64.0,88,75,11.41
hammerfest,NO,70.66,23.68,19.4,73,100,28.86
jeremie,HT,18.65,-74.12,66.43,82,50,0.78
bubaque,GW,11.28,-15.83,78.28,73,93,11.81
serebryansk,KZ,49.69,83.29,24.8,100,90,11.18
takaka,NZ,-40.85,172.8,81.0,78,7,8.99
virginia beach,US,36.85,-75.98,55.4,76,1,3.36
kaitangata,NZ,-46.28,169.85,66.99,65,85,9.55
ushuaia,AR,-54.8,-68.3,50.0,66,75,23.04
valparaiso,CL,-33.04,-71.63,64.4,88,30,4.7
kalmunai,LK,7.42,81.82,79.9,71,90,15.05
teya,RU,60.38,92.63,14.25,82,88,14.07
vila velha,BR,-20.33,-40.29,71.6,94,75,4.7
bella union,UY,-30.28,-57.6,81.68,43,0,5.01
talnakh,RU,69.49,88.4,1.4,84,75,8.95
strezhevoy,RU,60.73,77.59,-2.2,84,88,4.47
mar del plata,AR,-38.0,-57.56,68.0,45,0,13.87
katherine,AU,-14.47,132.27,87.8,58,100,9.17
brikama,GM,13.27,-16.65,75.2,64,87,10.29
cacequi,BR,-29.88,-54.83,75.31,52,2,5.73
hermanus,ZA,-34.42,19.23,60.01,93,42,11.01
north platte,US,41.12,-100.77,44.01,56,1,4.7
utica,US,43.1,-75.23,35.6,100,90,6.93
kango,GA,0.19,10.1,76.5,93,0,2.04
ola,RU,59.58,151.28,-6.39,89,100,14.09
carauari,BR,-4.88,-66.9,77.45,74,92,1.3
qaanaaq,GL,77.48,-69.36,-12.44,42,1,4.29
chumikan,RU,54.72,135.31,-10.23,78,11,16.4
coihaique,CL,-45.58,-72.07,62.6,51,75,5.82
acapulco,MX,16.86,-99.89,82.4,69,20,6.93
cap malheureux,MU,-19.98,57.61,77.0,78,40,12.75
madera,US,37.17,-119.83,62.6,67,20,5.82
lebork,PL,54.54,17.75,41.0,93,75,10.29
kontagora,NG,10.4,5.47,68.76,15,10,8.79
